"id","context","question","answer"
"15","Brunei","Where do many Bruneians go to enjoy a night out involving alcohol?","Many Bruneians travel to Tedungan, in Malaysia's Limbang district, Sarawak, where there are numerous bars and nightclubs."
"16","Cambodia","What is Battambang known for?","Battambang is the second biggest town in Cambodia and is famous for its bamboo trains."
"17","Cambodia","What makes Kampot a unique destination?","Kampot is a riverside town located on the way to Sihanoukville. It is known as the gateway to the Bokor National Park and is the pepper and durian capital of Cambodia."
"18","Cambodia","What can visitors find in Bokor National Park?","Visitors to Bokor National Park can explore the ghostly remnants of a former French hill resort."
"19","Cambodia","What can be found at Tonle Sap Lake?","Tonle Sap Lake is known for its huge size, floating villages, and being Southeast Asia's premier bird sanctuary."
"20","Cambodia","What is Kampong Cham known for?","Kampong Cham is known for being a nice countryside village on the Mekong River and a good place to experience real Cambodian life."
"21","Cambodia","What was the Khmer Rouge's impact on Cambodia?","The Khmer Rouge, led by Pol Pot, captured Phnom Penh in 1975 and evacuated cities, causing severe hardship. Over one million people died due to execution, forced labor, and starvation. Ethnic groups like the Chams, Vietnamese, and Chinese were particularly targeted. The regime's brutal policies left Cambodia's infrastructure in ruins."
"22","Cambodia","What are the main pillars of Cambodia's economy, and how has the tourism industry been performing?","The two pillars of Cambodia's economy are textiles and tourism. The tourism industry has grown rapidly, with over 6 million visitors arriving in 2018, mainly from China and neighboring countries."
"23","Cambodia","What are some key holidays in Cambodia, and how does the Chinese New Year affect travel?","Cambodia has various public holidays, including traditional ones that change based on the lunar calendar and fixed memorial holidays. Chinese New Year is widely celebrated, leading to increased bus fares and booked lodging as both locals and visitors from nearby countries travel. It's recommended to make bookings at least a couple of days in advance during this time."
"24","Laos","How has tourism in Laos changed over time?","Tourism in Laos has been increasing since the 1990s and continues to attract millions of tourists each year, despite the country not being a typical destination on most travelers' lists."
"25","Laos","What is the religious composition of the population in Laos?","In Laos, 60-70% of the population are practicing Buddhists, reflecting the strong cultural and religious influence of Buddhism in the country."
"26","Laos","What is Vang Vieng famous for?","Vang Vieng is famous for being a backpacker hangout and is popular for activities such as exploring limestone caves and tubing on the Nam Song River."
"27","Laos","What is Si Phan Don, and where is it located?","Si Phan Don, also known as the ""four thousand islands,"" is located within the Mekong River near the Cambodian border and is known for its unique landscape and peaceful environment."
"28","Laos","What can visitors do in Nong Khiaw?","In Nong Khiaw, visitors can explore beautiful karst cliffs, discover hilltribe villages, go kayaking, biking, or simply relax and enjoy the scenery."
"29","Laos","What is significant about Champasak in Laos?","Champasak is home to Wat Phu, a UNESCO World Heritage Site that features Angkor-style Khmer temples, showcasing the region's rich historical and cultural heritage."
"30","Laos","What is the national symbol of Laos, and what is its significance?","The national symbol of Laos is Pha That Luang, a gilded stupa in Vientiane, which has replaced the hammer and sickle on the state seal. It symbolizes the country's official Buddhist identity."
"32","Malaysia","What is Ipoh the capital of, and what are its main attractions?","Ipoh is the capital of Perak and is known for its historic colonial old town and tin mining area."
"33","Malaysia","What is Kuching known for in Malaysia?","Kuching is the capital of Sarawak and is the largest city in East Malaysia."
"34","Malaysia","What are the Perhentian Islands known for?","The Perhentian Islands are known for being glittering jewels off the East Coast of Malaysia that are still undiscovered by mass tourism."
"35","Malaysia","What makes Langkawi unique in Malaysia?","Langkawi is an archipelago of 99 islands known for its beaches, rainforest, mountains, mangrove estuaries, unique nature, and being a duty-free island."
"36","Malaysia","Why is Sipadan considered special?","Sipadan is considered one of the best dive spots in the world."
"37","Malaysia","What is one of the significant characteristics of Malaysian culture?","One of the significant characteristics of Malaysian culture is its celebration of various festivals and events throughout the year, which include both religious and joyous occasions."
"38","Malaysia","What is a unique feature of Ramadan in Malaysia for travelers?","A unique feature for travelers is the Ramadan bazaars, which are bustling with activity and offer a wide range of food for breaking the fast."
"39","Malaysia","What are some uniquely Malaysian festivals worth noting?","Unique Malaysian festivals include the Harvest Festival at the end of May and 'Pesta Gawai' in early June, both of which are thanksgiving celebrations held in East Malaysia."
"40","Myanmar","What are the main regions of Myanmar?","The main regions of Myanmar include: Lowlands of the Irrawaddy Delta: Home to the largest city and former capital, Yangon; Central Myanmar (Magway, Mandalay, Naypyitaw): Known for historical and archaeological sites, as well as cool hill towns.; Western Myanmar (Rakhine, Chin): Features remote mountainous areas and beautiful beaches on the Bay of Bengal.; Northern Myanmar (Sagaing, Kachin): A vast region including the southern part of the Himalayas and home to many tribes.; Eastern Myanmar (Shan, Kayah): Known for the Golden Triangle and a large number of ethnic groups.; Southeastern Myanmar (Tanintharyi, Mon, Kayin): A coastal region bordering Thailand with numerous offshore islands."
"41","Myanmar","What is Bagan famous for in Myanmar?","Bagan is famous for its archaeological zone filled with thousands of ancient pagodas near the Irrawaddy River, and it is also a UNESCO World Heritage Site."
"42","Myanmar","What is the significance of Kyaiktiyo in Myanmar?","Kyaiktiyo is significant for its gold-gilded rock that sits atop a cliff and serves as a major pilgrimage site for many devotees."
"43","Myanmar","What are the main cultural influences in Myanmar?","Myanmar's culture is primarily influenced by Indian traditions, intertwined with local customs and Chinese influences. This is evident in the country's architecture, such as stupas and temples that resemble those found in northern India."
"44","Myanmar","What is the significance of the Nats in Myanmar's culture?","The Nats are traditional Burmese spirits and are an important aspect of pre-Buddhist traditions in Myanmar. Spirit houses dedicated to the Nats can be found throughout the country, symbolizing the continued belief in these spirits even after the spread of Theravada Buddhism, where they are regarded as subordinates of the Buddha."
"45","Myanmar","What is Thingyan, and why is it important in Myanmar?","Thingyan, also known as the Burmese New Year or the Water Festival, is the most important festival in Myanmar. It typically occurs in April and involves people splashing water on each other, similar to Songkran in Thailand. It is a time of joy, renewal, and cleansing.Thingyan, also known as the Burmese New Year or the Water Festival, is the most important festival in Myanmar. It typically occurs in April and involves people splashing water on each other, similar to Songkran in Thailand. It is a time of joy, renewal, and cleansing."
"46","Myanmar","What is the e-Visa, and how does it work for visiting Myanmar?","The e-Visa is an electronic visa that allows visitors from many countries, including most Western nations, to apply online. The e-Visa costs US$50 for tourists and US$70 for business travelers. It takes about 3 days to process, but an express service is available for US$56, with a processing time of up to 24 hours. The visa is valid for 28 days and is single-entry. The application requires a passport-sized photo and payment by credit card."
"47","Myanmar","Which countries' citizens can visit Myanmar without a visa for tourism purposes?","Citizens of Brunei, Cambodia, Laos, and the Philippines can visit Myanmar without a visa for up to 14 days, provided they enter by air. Citizens of Russia and Vietnam can visit for up to 30 days, while citizens of Thailand and Singapore can stay for 30 days regardless of entry mode."
"48","Philippines","What are the main regions in the Philippines?","The main regions in the Philippines are Luzon, Visayas, Mindanao, and Palawan."
"49","Philippines","What are some of the provinces included in the Visayas region?","The Visayas region includes the provinces of Leyte, Samar, Cebu, Bohol, Negros, and Panay, as well as smaller provinces like Biliran, Siquijor, and Guimaras."
"50","Philippines","Why is Mindanao considered an area with travel concerns?","Mindanao is the second largest island in the Philippines and is home to many of the country's Muslim population, some of whom are radical. Much of the area is considered unsafe for travel due to ongoing conflicts, and travel warnings are issued for parts of Mindanao."
"51","Philippines","What makes Boracay one of the best-known resort areas in the Philippines?","Boracay is known for its 10-km-long white sand shoreline, making it one of the most popular and scenic resort destinations in the country."
"52","Philippines","What is notable about the landscape of El Nido?","El Nido is famous for its stunning karst topography, which consists of dozens of limestone islands with crystal-clear bays and lagoons. It remains relatively untouched by mass tourism, offering a serene experience."
"53","Philippines","What makes Taal Volcano unique compared to other volcanoes in the Philippines?","Taal Volcano is unique because it features a lake within its caldera, which in turn is located within another lake that is the caldera of a larger dormant volcano. This scenic setting makes it a popular weekend destination close to Manila."
"54","Philippines","What are the main cultural influences in the Philippines?","The culture of the Philippines is a unique blend of local customs, Chinese traditions, Hispanic religiosity, machismo and romance, and Western ideals and popular culture."
"55","Philippines","What is a notable characteristic of Filipino hospitality?","Filipino hospitality is legendary in Southeast Asia, where guests are often treated like royalty. This is especially evident during fiestas, when even strangers are welcomed to join in the feast. The generosity can sometimes be so extreme that households spend beyond their means, even incurring debt, to host lavish celebrations."
"56","Singapore","What is Singapore commonly referred to due to its appearance and cultural references?","Singapore is often referred to as the ""Little Red Dot"" (a term originally used pejoratively by former Indonesian president B. J. Habibie) and the ""Lion City,"" which is a literal translation of its original Sanskrit name."
"57","Singapore","What are some of the main areas in Singapore's city center?","The city center of Singapore, located in the south, includes the Orchard Road shopping area, the Riverside, the Marina Bay area, and the skyscraper-filled Shenton Way financial district. Collectively, these areas are known as the CBD (Central Business District)."
"58","Singapore","What are the main characteristics of Singapore’s residential towns?","Large, self-contained residential towns have developed across the island, surrounding the clean and modern city center, contributing to Singapore's unique blend of urban and green spaces."
"59","Singapore","What is Singapore's location in relation to the Equator, and how does it affect the weather?","Singapore is located 1°17' north of the Equator, giving it a tropical climate characterized by warm weather year-round with little seasonal variation."
"60","Singapore","When do forest fires in Sumatra affect Singapore, and what impact do they have?","Forest fires in neighboring Sumatra can cause dense haze in Singapore between May and October. This haze is unpredictable and can change rapidly, so it is advised to check with the National Environment Agency for current conditions."
"61","Singapore","Which citizens do not need a visa to visit Singapore for up to 90 days?","Citizens of Australia, the European Union, New Zealand, Norway, South Korea, Switzerland, the United Kingdom, and the United States do not need a visa for stays of 90 days or less."
"62","Singapore","What are some of the most notable events and festivals held in Singapore?","Singapore hosts numerous events and festivals each year, including the Singapore Food Festival, the Singapore Formula One Grand Prix, the Singapore Arts Festival, the Chingay Parade, the World Gourmet Summit, and ZoukOut. Christmas is also widely celebrated with vibrant decorations on Orchard Road, and the Singapore Jewel Festival showcases precious gems and masterpieces from international jewellers and designers."
"63","Singapore","How long can holders of a valid APEC Business Travel Card (ABTC) stay in Singapore without a visa?","How long can holders of a valid APEC Business Travel Card (ABTC) stay in Singapore without a visa?"
"64","Thailand","What is Thailand known as, and what makes it a unique destination in Southeast Asia?","Thailand is known as the ""Land of Smiles"" and is considered the heart of the Southeast Asian mainland. It has relatively good infrastructure and serves as a gateway to the region for most foreign visitors. Thailand is well-developed for tourism and offers a blend of culture, kindness, and a unique experience that can be life-changing."
"65","Thailand","What are some of the downsides of visiting or living in Thailand?","Some downsides include economic disparities, where agricultural laborers earn very little compared to the wealthy. Bangkok is notorious for traffic jams, and rapid development has impacted the beauty of tourist areas like Pattaya and Phuket. Additionally, certain areas have tourists targeted by scams, involving both locals and foreigners."
"66","Thailand","What are the electrical specifications in Thailand?","Thailand uses 220 volts with a frequency of 50 hertz. The plug types include NEMA 1-15, NEMA 5-15, Europlug, and Schuko."
"67","Thailand","What are the emergency contact numbers in Thailand?","The emergency contact numbers in Thailand are 191 for the police, 199 for the fire department, and +66-1669 for emergency medical services."
"68","Thailand","Who are the largest ethnic group in Thailand, and what languages do they speak?","The native Tais are the largest ethnic group in Thailand. They speak a set of related languages, including Thai and Lao, which is spoken by the Isaan people in Northeast Thailand."
"69","Thailand","Where are Malays primarily concentrated in Thailand?","Malays are mainly concentrated in Southern Thailand, with a sizeable community also in Bangkok."
"70","Thailand","What challenges have the Pakistani community in Thailand faced?","Many Pakistani Christians in Thailand have come as asylum seekers to escape religious discrimination and violence in Pakistan."
"71","Thailand","What are ""wats"" in Thai culture, and what are they known for?","""Wats"" are Thai temples that are known for their ornate, multicolored, pointy roofs and are often adorned with gold. They are a common sight throughout Thailand and play an essential role in the religious and cultural landscape."
"72","Vietnam","What historical site can be found in Cu Chi, Vietnam?","Cu Chi is famous for the Cu Chi Tunnels, which were used during the Vietnam War as an extensive network of underground passageways."
